PageNumber,PageCount,ResultCount,ResultDateTime
1,1,2939,2019-09-06T14:45:52.6099797-06:00
abbrev,parameter,measDateTime,measValue,measUnit,flagA,flagB,modified
PLAKERCO,DISCHRG,2019-08-09T00:15:00.0000000,349,cfs,O,,2019-08-09T00:39:54.2470000
PLAKERCO,DISCHRG,2019-08-09T00:30:00.0000000,345,cfs,O,,2019-08-09T00:39:54.2630000
PLAKERCO,DISCHRG,2019-08-09T00:45:00.0000000,353,cfs,O,,2019-08-09T01:39:36.9330000
PLAKERCO,DISCHRG,2019-08-09T01:00:00.0000000,353,cfs,O,,2019-08-09T01:39:36.9500000
PLAKERCO,DISCHRG,2019-08-09T01:15:00.0000000,356,cfs,O,,2019-08-09T01:39:36.9500000
PLAKERCO,DISCHRG,2019-08-09T01:30:00.0000000,356,cfs,O,,2019-08-09T01:39:36.9670000
PLAKERCO,DISCHRG,2019-08-09T01:45:00.0000000,360,cfs,O,,2019-08-09T02:39:38.4130000
PLAKERCO,DISCHRG,2019-08-09T02:00:00.0000000,368,cfs,O,,2019-08-09T02:39:38.4130000
PLAKERCO,DISCHRG,2019-08-09T02:15:00.0000000,364,cfs,O,,2019-08-09T02:39:38.4130000
PLAKERCO,DISCHRG,2019-08-09T02:30:00.0000000,372,cfs,O,,2019-08-09T02:39:38.4300000
PLAKERCO,DISCHRG,2019-08-09T02:45:00.0000000,372,cfs,O,,2019-08-09T03:39:39.0930000
PLAKERCO,DISCHRG,2019-08-09T03:00:00.0000000,376,cfs,O,,2019-08-09T03:39:39.0930000
PLAKERCO,DISCHRG,2019-08-09T03:15:00.0000000,376,cfs,O,,2019-08-09T03:39:39.1100000
PLAKERCO,DISCHRG,2019-08-09T03:30:00.0000000,376,cfs,O,,2019-08-09T03:39:39.1100000
PLAKERCO,DISCHRG,2019-08-09T03:45:00.0000000,376,cfs,O,,2019-08-09T04:39:40.6930000
PLAKERCO,DISCHRG,2019-08-09T04:00:00.0000000,372,cfs,O,,2019-08-09T04:39:40.6930000
PLAKERCO,DISCHRG,2019-08-09T04:15:00.0000000,376,cfs,O,,2019-08-09T04:39:40.6930000
PLAKERCO,DISCHRG,2019-08-09T04:30:00.0000000,376,cfs,O,,2019-08-09T04:39:40.7100000
PLAKERCO,DISCHRG,2019-08-09T04:45:00.0000000,372,cfs,O,,2019-08-09T05:39:41.8200000
PLAKERCO,DISCHRG,2019-08-09T05:00:00.0000000,372,cfs,O,,2019-08-09T05:39:41.8200000
PLAKERCO,DISCHRG,2019-08-09T05:15:00.0000000,360,cfs,O,,2019-08-09T05:39:41.8200000
PLAKERCO,DISCHRG,2019-08-09T05:30:00.0000000,368,cfs,O,,2019-08-09T05:39:41.8200000
PLAKERCO,DISCHRG,2019-08-09T05:45:00.0000000,364,cfs,O,,2019-08-09T06:40:02.9300000
PLAKERCO,DISCHRG,2019-08-09T06:00:00.0000000,360,cfs,O,,2019-08-09T06:40:02.9430000
PLAKERCO,DISCHRG,2019-08-09T06:15:00.0000000,364,cfs,O,,2019-08-09T06:40:02.9430000
PLAKERCO,DISCHRG,2019-08-09T06:30:00.0000000,368,cfs,O,,2019-08-09T06:40:02.9430000
PLAKERCO,DISCHRG,2019-08-09T06:45:00.0000000,360,cfs,O,,2019-08-09T07:40:04.2830000
PLAKERCO,DISCHRG,2019-08-09T07:00:00.0000000,368,cfs,O,,2019-08-09T07:40:04.3000000
PLAKERCO,DISCHRG,2019-08-09T07:15:00.0000000,364,cfs,O,,2019-08-09T07:40:04.3000000
PLAKERCO,DISCHRG,2019-08-09T07:30:00.0000000,368,cfs,O,,2019-08-09T07:40:04.3170000
PLAKERCO,DISCHRG,2019-08-09T07:45:00.0000000,372,cfs,O,,2019-08-09T08:40:05.6270000
PLAKERCO,DISCHRG,2019-08-09T08:00:00.0000000,376,cfs,O,,2019-08-09T08:40:05.6270000
PLAKERCO,DISCHRG,2019-08-09T08:15:00.0000000,376,cfs,O,,2019-08-09T08:40:05.6270000
PLAKERCO,DISCHRG,2019-08-09T08:30:00.0000000,376,cfs,O,,2019-08-09T08:40:05.6270000
PLAKERCO,DISCHRG,2019-08-09T08:45:00.0000000,376,cfs,O,,2019-08-09T09:39:27.0330000
PLAKERCO,DISCHRG,2019-08-09T09:00:00.0000000,372,cfs,O,,2019-08-09T09:39:27.0330000
PLAKERCO,DISCHRG,2019-08-09T09:15:00.0000000,376,cfs,O,,2019-08-09T09:39:27.0330000
PLAKERCO,DISCHRG,2019-08-09T09:30:00.0000000,376,cfs,O,,2019-08-09T09:39:27.0330000
PLAKERCO,DISCHRG,2019-08-09T09:45:00.0000000,376,cfs,O,,2019-08-09T10:39:48.4930000
PLAKERCO,DISCHRG,2019-08-09T10:00:00.0000000,376,cfs,O,,2019-08-09T10:39:48.4930000
